Formation;Module;Type;Référence;Point à arbitrer;Statut (à remplir)
"Enseignant de la Conduite et de la Sécurité Routière";"Module 2 : Le REMC et les parcours de formation";"QR";"ECSR-M2-QR-05";"Rien de faux : la structure décrite (phase de conduite avec l'accompagnateur à bord, puis temps d'échanges) correspond bien au RVP officiel, et les 2 RVP obligatoires de l'AAC sont exacts. Donnée manquante à arbitrer : le cadre réglementaire du RVP (3 h, dont 1 h de conduite et 2 h d'échanges, 1er RVP entre 4 et 6 mois après l'attestation de fin de formation initiale, second après 3 000 km, présence obligatoire d'un accompagnateur) n'apparaît ni au corrigé ni au barème.";""
"Enseignant de la Conduite et de la Sécurité Routière";"Module 3 : Enseigner en voiture : la séance individuelle";"QR";"ECSR-M3-QC-03";"Le contenu (acquis / points à travailler / objectif suivant, avec auto-évaluation préalable de l'élève) est conforme à la logique d'auto-évaluation du REMC. En revanche le barème est arithmétiquement incohérent : la ventilation 0,75 + 0,75 + 0,5 donne 1,5 pt pour deux volets (a+b) ou 1,25 pt (a+c), alors que la grille globale annonce 1 pt pour 2 volets. Arbitrage éditorial requis : conserver soit la ventilation détaillée, soit la grille globale.";""
"Enseignant de la Conduite et de la Sécurité Routière";"Module 4 : Séances collectives et examens du permis";"QR";"ECSR-M4-QC-03";"Aucun texte officiel ni référentiel public (REMC, programmes TP ECSR) ne fixe un déroulé canonique en « cinq temps » avec ces intitulés : la séquence proposée est pédagogiquement cohérente mais son libellé exact relève du support de cours interne du module M4. Point éditorial à aligner sur le cours de référence, pas de donnée réglementaire à trancher.";""
"Enseignant de la Conduite et de la Sécurité Routière";"Module 5 : Sensibiliser tous les publics (CCP2)";"QR";"ECSR-M5-QC-02";"La logique en trois phases (émergence des représentations, apport et confrontation d'éléments objectifs, élaboration de solutions par le groupe) se retrouve dans les programmes TP ECSR publiés, mais aucun texte officiel ne fixe une dénomination canonique des « trois temps » : le libellé et l'ordre attendus relèvent du support de cours interne du module M5. Point éditorial à recaler sur le cours de référence.";""
"Enseignant de la Conduite et de la Sécurité Routière";"Module 5 : Sensibiliser tous les publics (CCP2)";"QR";"ECSR-M5-QC-10";"Contenu factuellement exact (l'ECSR doit être titulaire de l'autorisation d'enseigner délivrée par le préfet, art. L212-1 code de la route) et total du barème juste (0,75 + 0,75 + 0,5 = 2). Mais la clause dégressive contredit la pondération : « 2 éléments = 1,25 pt » alors que deux éléments valent 1,5 ou 1,25 selon lesquels, et « 1 seul = 0,5 pt » alors que deux des trois valent 0,75. Convention de correction à arbitrer.";""
"Enseignant de la Conduite et de la Sécurité Routière";"Module 6 : Préparer la session du titre";"QR";"ECSR-M6-QC-01";"Le libellé officiel du CCP1 est « Former des apprenants conducteurs par des actions individuelles et collectives, dans le respect des cadres réglementaires en vigueur » (fiches RNCP35329 et RNCP41862, cette dernière active depuis le 29/04/2026 ; arrêté du 26 janvier 2021). Le CCP2 du corrigé est exact mot pour mot, le nombre de CCP (2) et la délivrance au nom du ministère du Travail sont confirmés. Attention : le RNCP 40990 cité dans la note correspond au titre GOTRM, la fiche ECSR en vigueur est RNCP41862. [Contre-vérification : correction non confirmée : Fond confirmé mot pour mot (RNCP41862, France Compétences, effet 29/04/2026, ministère du Travail). Dégradé car « ancien » n'est pas un extrait exact : « d’un » (apostrophe courbe) vs « d'un » (droite) en base de production, vérifié par SQL. Le remplacement exact échouerait. Re-soumettre avec apostrophe droite.]";""
"Enseignant de la Conduite et de la Sécurité Routière";"Module 6 : Préparer la session du titre";"QR";"ECSR-M6-QC-03";"Aucun texte officiel (référentiel de certification du titre, arrêté du 22 décembre 2015, fiche RNCP41862) ne définit une liste normée de « trois marqueurs pédagogiques » pour la séance individuelle. La triade objectif opérationnel / méthode active / évaluation formative est cohérente avec le REMC, mais le libellé exact relève du support de cours M6, invérifiable par une source externe. Point éditorial à caler sur le support.";""
"Enseignant de la Conduite et de la Sécurité Routière";"Module 6 : Préparer la session du titre";"QR";"ECSR-M6-QC-05";"Le bloc CCP2 (RNCP41862) vise bien des actions de sensibilisation adaptées au public et orientées vers l'adoption de comportements sûrs, ce qui rend la paire proposée plausible, mais aucun texte officiel ne fixe une liste de « deux exigences » distinguant sensibilisation et exposé. Le découpage retenu est un choix pédagogique du support M6, non tranchable par une source externe.";""
"Enseignant de la Conduite et de la Sécurité Routière";"Module 6 : Préparer la session du titre";"QR";"ECSR-M6-QR-04";"Donnée manquante sur la structure de la session : le corrigé et le barème parlent de « chacune des épreuves de la session » mais n'en citent que trois (mise en situation, entretien technique, entretien final). Le référentiel d'évaluation du TP ECSR prévoit en outre un questionnement à partir de productions (présentation orale de l'action de sensibilisation conduite en entreprise). Arbitrage formateur : compléter ou reformuler le barème.";""
"Exploitant en Régulation du Transport de Voyageurs";"Module 1 : Le cadre du transport routier de voyageurs";"QR";"ERTV-M1-QC-03";"Pour un service occasionnel national, le document de contrôle exigé à bord est le billet collectif (arrêté du 28 décembre 2011 relatif aux titres administratifs et aux documents de contrôle, transport public routier de personnes) ; la feuille de route n'est exigée que pour les services occasionnels internationaux (règlement CE 1073/2009). L'énoncé ne précisant pas le caractère international, le corrigé est complété pour couvrir les deux cas. [Contre-vérification : correction non confirmée : Fond confirmé (arrêté 28/12/2011, Légifrance : billet collectif = national, feuille de route = international, CE 1073/2009). Remplacement « corrige » exact, mais l'« ancien » du barème contient « d’assurance » (apostrophe courbe) vs apostrophe droite en base (vérifié par SQL) : application partielle. Corriger l'apostrophe puis appliquer.]";""
"Exploitant en Régulation du Transport de Voyageurs";"Module 1 : Le cadre du transport routier de voyageurs";"QR";"ERTV-M1-QC-06";"Le critere de distinction (transfert du risque d'exploitation) est exact. En revanche, l'affirmation que le delegataire se remunere ""en grande partie sur les recettes percues aupres des usagers"" est inexacte : l'article L1411-1 du CGCT prevoit que la contrepartie est le droit d'exploiter le service ""soit de ce droit assorti d'un prix"" ; dans les reseaux urbains la contribution de l'AOM depasse le plus souvent les recettes voyageurs. Seul le risque est determinant. [Contre-vérification : non confirmé : Source refutee : le L1411-1 CGCT en vigueur ne dit rien de la remuneration ni du droit d'exploiter assorti d'un prix ; il renvoie a L1121-3 CCP. Le remplacement insere une citation d'article erronee dans le corrige, et le bareme reste inchange.]";""
"Exploitant en Régulation du Transport de Voyageurs";"Module 1 : Le cadre du transport routier de voyageurs";"QR";"ERTV-M1-QR-06";"Rien de faux : missions du gestionnaire (entretien, contrats, affectation des conducteurs, sécurité), détention de la capacité et honorabilité personnelle sont conformes à R3113-43 et R3113-23. Mais une donnée manque sur le point même de l'énoncé : le préfet de région met en demeure de régulariser, délai max 6 mois en cas de cessation d'activité du gestionnaire, 9 mois si décès ou incapacité physique (R3113-13). Arbitrage formateur : ajouter ou non ce délai.";""
"Exploitant en Régulation du Transport de Voyageurs";"Module 2 : Concevoir l'offre : graphicage et habillage";"QR";"ERTV-M2-QC-02";"La littérature de référence sur le graphicage et l'habillage désigne l'enchaînement des courses d'un même véhicule par « service voiture » (le mot « roulement » désigne plus classiquement le roulement des conducteurs), mais les termes coexistent dans la profession et le barème les accepte tous. Le terme canonique attendu dépend du support interne du Module 2, invérifiable par recherche web : arbitrage formateur requis.";""
"Exploitant en Régulation du Transport de Voyageurs";"Module 2 : Concevoir l'offre : graphicage et habillage";"QR";"ERTV-M2-QC-03";"La réponse attendue (feuille de service, issue de l'habillage et du roulement) est correcte. Point éditorial sur la convention de correction : le barème accepte « feuille de route » comme synonyme, or c'est en droit un document de contrôle distinct (feuille de route du règlement CE 1073/2009, services occasionnels internationaux, à remplir avant le départ). À arbitrer sur une plateforme certifiante.";""
"Exploitant en Régulation du Transport de Voyageurs";"Module 3 : Exploiter et réguler au quotidien";"QR";"ERTV-M3-QC-07";"Les trois leviers sont licites et la limite (temps de conduite/repos, conducteur inapte ou non habilité) est exacte. À arbitrer : corrigé et barème visent le seul règlement CE 561/2006, dont l'article 3 a) exclut « les véhicules affectés au transport de voyageurs par des services réguliers dont le parcours de la ligne ne dépasse pas 50 km » (urbain/périurbain, règles nationales). Exact pour l'autocar >50 km, incomplet pour un réseau urbain.";""
"Exploitant en Régulation du Transport de Voyageurs";"Module 4 : Le social du transport de voyageurs";"QR";"ERTV-M4-QR-01";"FIMO voyageurs 140 h, FCO 35 h/5 ans et seuil alcool 0,2 g/L (art. R234-1) sont exacts, mais l'âge d'accès au permis D est erroné : l'article R221-5 du code de la route fixe 24 ans pour les catégories D et DE (21 ans pour C, CE, D1, D1E), l'abaissement à 21 ans étant précisément lié à la détention de la qualification initiale (FIMO ou titre professionnel). [Contre-vérification : non confirmé : R221-5 confirme 24 ans (D/DE), mais le remplacement est inexact : selon R3314-6 c. transports, la FIMO voyageurs 140 h n'ouvre D/DE qu'a 23 ans (21 ans seulement si services reguliers <=50 km) ; seul le titre pro (R3314-4) donne 21 ans.]";""
"Exploitant en Régulation du Transport de Voyageurs";"Module 5 : Sécurité des voyageurs et qualité de service";"QR";"ERTV-M5-QR-05";"Le BEA-TT est bien compétent pour l'enquête technique sur un accident d'autocar, en parallèle de l'enquête judiciaire, et extincteur, boîte de premiers secours, issues de secours et dispositifs de bris de vitre sont bien imposés. En revanche le coupe-ceinture, présenté comme équipement « réglementaire », ne figure pas aux art. 64 à 70 ter et les sources secondaires se contredisent : recherche non concluante, à arbitrer (retirer « réglementaires » ou conserver comme équipement d'usage).";""
"Exploitant en Régulation du Transport de Voyageurs";"Module 6 : Préparation à l'évaluation";"QR";"ERTV-M6-QC-04";"La primauté de la sécurité des personnes et l'obligation d'information des voyageurs en cas de perturbation (règlement UE 181/2011) sont incontestables, mais la hiérarchie précise à trois niveaux (sécurité puis correspondance puis régularité) est une doctrine d'exploitation propre aux supports de cours, non fixée par un texte officiel. Point pédagogique à valider par le formateur contre son référentiel.";""
"FIMO Marchandises & FCO obligatoire";"Module 0 — FIMO, FCO et carte de qualification";"QR";"FIMO-M0-QR-05";"Le mécanisme est correct (exemption de l'art. R. 3314-15 conditionnée au caractère non principal de la conduite ; l'interprétation retient plus de 50 % du temps de travail comme activité principale, moins de 30 % en mois glissant comme accessoire). Mais le texte vise « matériel, équipement ou machines destinés à être utilisés dans l'exercice du métier », ce qui ne couvre pas les matériaux de construction. L'énoncé « approvisionner ses chantiers » est ambigu : arbitrage formateur.";""
"FIMO Marchandises & FCO obligatoire";"Module 5 — Préparation à l'évaluation";"QR";"FIMO-M5-QC-05";"Le contenu du corrigé est juridiquement exact : lettre de voiture renseignée et contrôlée à l'enlèvement (réserves au chargement) puis signature/émargement du destinataire valant preuve de livraison, conformément au contrat type général (décret n° 2017-461, art. 21-22 de l'annexe) et à la CMR. En revanche, l'intitulé exact des « deux réflexes documentaires » attendu par le support FIMO-M5 est un choix éditorial interne que la recherche web ne peut pas trancher.";""
"FIMO Marchandises & FCO obligatoire";"Thème 2 — Réglementations du transport";"QCM";"FIMO-T2-QCM-04";"Clé obsolète sans option de remplacement : depuis le 31/12/2024, le règlement (UE) 2020/1054 (modifiant l'art. 36 du règlement UE 165/2014) impose de justifier la journée en cours ET les 56 jours précédents. En juillet 2026, « 28 jours » est faux, mais aucun choix ne propose 56 jours : pas de bonne_id possible. Réécrire l'item (option « journée en cours + 56 jours ») et mettre l'explication à jour.";""
"FIMO Marchandises & FCO obligatoire";"Thème 3 — Santé, sécurité routière et environnementale";"QR";"FIMO-T3-QR-03";"Le fond est exact : rétro d'accostage (classe V) côté passager et rétro frontal/antéviseur (classe VI) couvrent bien l'angle mort latéral bas et la zone pare-chocs (dir. 2003/97/CE, arrêté du 10 avril 2008) ; signalisation angles morts obligatoire depuis le 1er janvier 2021. Point à trancher : « rétro plan américain » n'est pas une désignation reconnue, les termes normalisés étant rétroviseur principal (plan, classe II) et grand angle (classe IV).";""
